ID,plot_number,disk,AqE,Precip,Precip_7day,days
NAM10,123,30,0.82370708194167,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,70,68,1.90223497565514,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,136,21,0.965368032843863,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,136,15,0.514045132453372,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,70,59,1.03061784942776,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,70,52,1.10220008589888,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,36,15,0.400979408848445,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,123,45,-0.167280428198583,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,123,38,-0.184228946497402,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,36,21,0.144953498860268,2.54496209101558,0.596400926601087,-1.36951587571484
NAM10,136,5,0.911815967243438,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,150,55,0.93214053092627,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,62,58,-0.131348616922969,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,26,66,0.781838748226846,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,26,51,1.18507141471955,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,62,65,0.723728691018185,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,26,60,0.0846862633115535,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,111,40,0.0876811282658809,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,150,62,1.7928297179511,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,150,46,1.65733509014317,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,111,32,0.977471016306276,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,62,50,1.49456974461872,2.54496209101558,0.596400926601087,-1.36951587571484
NAM11,111,47,0.85583846529974394,2.54496209101558,0.596400926601087,-1.36951587571484
NAM12,16,5,0.330451735704596,2.54496209101558,0.596400926601087,-1.36951587571484
NAM12,141,80,0.437362330528359,2.54496209101558,0.596400926601087,-1.36951587571484
NAM12,141,88,-0.130206275615729,2.54496209101558,0.596400926601087,-1.36951587571484
NAM12,121,93,0.591078886300697,2.54496209101558,0.596400926601087,-1.36951587571484
NAM12,16,19,1.01737087502794,2.54496209101558,0.596400926601087,-1.36951587571484
NAM12,121,77,0.576719423934275,2.54496209101558,0.596400926601087,-1.36951587571484
NAM12,121,84,2.05633025948053,2.54496209101558,0.596400926601087,-1.36951587571484
NAM12,198,10,0.999590923813163,2.54496209101558,0.596400926601087,-1.36951587571484
NAM12,141,72,0.591121015317356,2.54496209101558,0.596400926601087,-1.36951587571484
NAM13,187,15,-0.432264996891109,2.54496209101558,0.596400926601087,-1.36951587571484
NAM13,30,69,0.777022766045984,2.54496209101558,0.596400926601087,-1.36951587571484
NAM13,30,52,1.53723336007328,2.54496209101558,0.596400926601087,-1.36951587571484
NAM13,187,22,-0.10428690293533,2.54496209101558,0.596400926601087,-1.36951587571484
NAM13,187,5,-0.306678428570715,2.54496209101558,0.596400926601087,-1.36951587571484
NAM13,110,64,1.44030371466681,2.54496209101558,0.596400926601087,-1.36951587571484
NAM13,110,72,2.37329591620408,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,72,19,0.113014222935422,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,72,6,1.51468640800424,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,149,86,0.967685192207502,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,39,46,0.446437260573937,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,149,79,1.01574538518128,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,72,12,1.10163954818755,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,39,31,0.913458921652987,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,113,86,0.547257299430969,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,113,80,0.528720959680103,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,39,39,1.78515744250881,2.54496209101558,0.596400926601087,-1.36951587571484
NAM14,113,96,2.5014234446341,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,31,44,0.232997703763029,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,146,47,-0.0307032705906903,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,31,31,1.36537579648941,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,31,38,1.50991105969028,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,88,1,1.27652150731265,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,146,64,1.11650474357868,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,205,20,0.917809313649005,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,88,10,0.998014224951162,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,146,54,0.755035703422237,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,205,26,1.23389161272634,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,205,27,-0.22204213891377,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,78,69,0.624380282270757,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,78,60,0.371398767520703,2.54496209101558,0.596400926601087,-1.36951587571484
NAM15,78,56,1.62544788239469,2.54496209101558,0.596400926601087,-1.36951587571484
NAM17,64,11,-0.0960825776258084,2.54496209101558,0.596400926601087,-1.36951587571484
NAM17,64,4,1.40897779772169,2.54496209101558,0.596400926601087,-1.36951587571484
