Date,ID,plot_number,disk,AqI,AqE,tqE,AqM,tqM,maxNPQ,protocol,Ta,VPD,Precip,Fsd,Ta_7day,VPD_7day,Precip_7day,Fsd_7day,Precip_7day_sum,Precip_cum,year
2021-06-24,NAM10,123,30,0.262402994,2.154646144,1.2704,1.432581521,12.9961,3.85,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,70,68,0.304359291,2.545618431,0.88499,1.719983872,14.4052,4.57,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,136,21,0.389649832,2.205999017,0.94881,1.644280858,14.5132,4.24,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,136,15,0.255403522,2.042391986,1.0072,1.812088187,15.1677,4.11,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,70,59,0.386297693,2.229652434,0.90931,1.624016278,15.501,4.24,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,70,52,0.273317062,2.255601388,1.1301,1.610873346,15.6934,4.14,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,36,15,0.2740289,2.00140504,1.4644,1.593741801,16.7221,3.87,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,36,7,0.277215003,2.327832912,1.9785,1.063700192,17.8881,3.67,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,123,45,0.265166139,1.795407727,0.7696,1.819441491,20.9,3.88,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,123,38,0.299157721,1.789263796,0.90541,1.481566267,22.8653,3.57,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,36,21,0.74617358600000006,1.908594241,1.4575,0.825264,26.2192,3.48,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM10,136,5,0.118511427,2.186586099,0.86616,2.074913628,28.2394,4.38,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM11,150,55,0.367859738,2.193953865,1.6982,1.346637142,11.4841,3.91,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM11,62,58,0.306843846,1.808433206,0.97162,1.68467507,13.8492,3.8,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM11,26,66,0.305345007,2.139468643,1.2266,1.754776856,14.8213,4.2,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM11,26,51,0.264512765,2.2856427,1.2767,1.449494514,15.0825,4,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM11,62,65,0.28762609,2.118403428,1.5566,1.703016874,15.361,4.11,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM11,26,60,0.441932148,1.886747037,0.8428,1.151276032,16.865,3.48,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM11,111,40,0.261632937,1.887832692,1.226,1.14020711,17.4262,3.29,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM11,150,62,0.297471763,2.505958424,1.4494,1.305980584,17.5707,4.11,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
2021-06-24,NAM11,150,46,0.309140561,2.456840877,1.3924,1.293267204,17.6191,4.06,Protocol_3,24.3152291666667,1.134131685,31.75,381.425226558235,21.6298150744048,0.944770672363095,4.966304762,511.126544970504,34.764133334,896.450057362,2021
